place_id,slot,date,time,rater,weather,temp_f,lux,kelvin,db_mean,db_peak,db_variability,seats_total,seats_occupied,capacity,people_visible,enclosure,complexity,greenery,daylight,seat_comfort,privacy,talk_ok,thermal,outlets,wifi,food_drink,restroom,table_surface,back_to_wall,photo_wide,photo_pov,photo_light,notes
p01,A_wkdy_morning,GUESS,,guess_v1,fog,54,292,4000,35.8,47.9,1,120,32,120,40,4,1,1,4,3,4,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p01,B_wkdy_midday,GUESS,,guess_v1,clear,61,430,4000,44.1,54.6,2,120,73,120,91,4,2,1,4,3,3,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p01,C_wkdy_afternoon,GUESS,,guess_v1,clear,61,399,4000,40.5,49.3,2,120,56,120,70,4,2,1,4,3,3,1,5,1,1,0,1,1,1,,,,"guessed, not measured"
p01,D_wkdy_evening,GUESS,,guess_v1,clear,53,367,3200,33.2,45.4,1,120,16,120,20,4,1,1,2,3,4,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p01,E_wkend_midday,GUESS,,guess_v1,clear,58,387,4000,31.3,41.8,1,120,16,120,20,4,1,1,4,3,4,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p02,A_wkdy_morning,GUESS,,guess_v1,fog,55,291,4000,34.1,44.4,1,120,29,120,36,4,1,1,4,3,4,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p02,B_wkdy_midday,GUESS,,guess_v1,clear,59,432,4000,45.4,55.8,2,120,72,120,90,4,2,1,4,3,3,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p02,C_wkdy_afternoon,GUESS,,guess_v1,clear,61,401,4000,42.7,55.1,2,120,59,120,74,4,2,1,4,3,3,1,5,1,1,0,1,1,1,,,,"guessed, not measured"
p02,D_wkdy_evening,GUESS,,guess_v1,clear,53,329,3200,31.1,40.7,1,120,19,120,24,4,1,1,2,3,4,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p02,E_wkend_midday,GUESS,,guess_v1,clear,61,455,4000,33.9,43.9,1,120,19,120,24,4,1,1,4,3,4,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p03,A_wkdy_morning,GUESS,,guess_v1,fog,56,125,2900,30,38.8,1,40,6,40,8,5,1,1,2,5,5,1,3,0,1,0,1,1,1,,,,"guessed, not measured"
p03,B_wkdy_midday,GUESS,,guess_v1,clear,59,189,2900,36.6,44.3,1,40,18,40,22,5,2,1,2,5,5,1,4,0,1,0,1,1,1,,,,"guessed, not measured"
p03,C_wkdy_afternoon,GUESS,,guess_v1,clear,59,170,2900,33.7,42.7,1,40,14,40,17,5,2,1,2,5,5,1,5,0,1,0,1,1,1,,,,"guessed, not measured"
p03,D_wkdy_evening,GUESS,,guess_v1,clear,51,161,2900,30,35.4,1,40,4,40,5,5,1,1,1,5,5,1,3,0,1,0,1,1,1,,,,"guessed, not measured"
p03,E_wkend_midday,GUESS,,guess_v1,clear,58,188,2900,30,36.0,1,40,5,40,6,5,1,1,2,5,5,1,4,0,1,0,1,1,1,,,,"guessed, not measured"
p04,A_wkdy_morning,GUESS,,guess_v1,fog,53,139,3800,35.4,45.5,2,120,48,120,60,4,2,1,1,3,4,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p04,B_wkdy_midday,GUESS,,guess_v1,clear,58,225,3800,48.0,57.6,3,120,108,120,135,4,2,1,1,3,3,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p04,C_wkdy_afternoon,GUESS,,guess_v1,clear,62,175,3800,43.8,54.8,2,120,85,120,106,4,2,1,1,3,4,1,5,1,1,0,1,1,1,,,,"guessed, not measured"
p04,D_wkdy_evening,GUESS,,guess_v1,clear,52,173,3200,31.7,43.1,1,120,27,120,34,4,1,1,1,3,5,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p04,E_wkend_midday,GUESS,,guess_v1,clear,60,200,3800,31.9,42.7,1,120,23,120,29,4,1,1,1,3,5,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p05,A_wkdy_morning,GUESS,,guess_v1,fog,54,314,4500,59.2,81.0,5,140,71,140,89,4,3,1,3,3,1,5,3,1,1,1,1,1,0,,,,"guessed, not measured"
p05,B_wkdy_midday,GUESS,,guess_v1,clear,61,483,4500,70.2,88.8,5,140,140,140,182,4,4,1,3,3,1,5,4,1,1,1,1,1,0,,,,"guessed, not measured"
p05,C_wkdy_afternoon,GUESS,,guess_v1,clear,59,437,4500,65.5,86.5,5,140,133,140,166,4,4,1,3,3,1,5,5,1,1,1,1,1,0,,,,"guessed, not measured"
p05,D_wkdy_evening,GUESS,,guess_v1,clear,51,377,3200,56.7,77.1,5,140,55,140,69,4,3,1,1,3,1,5,3,1,1,1,1,1,0,,,,"guessed, not measured"
p05,E_wkend_midday,GUESS,,guess_v1,clear,59,467,4500,57.1,76.1,4,140,39,140,49,4,3,1,3,3,1,5,4,1,1,1,1,1,0,,,,"guessed, not measured"
p06,A_wkdy_morning,GUESS,,guess_v1,fog,55,250,4200,35.6,45.2,2,90,45,90,56,4,2,1,3,3,3,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p06,B_wkdy_midday,GUESS,,guess_v1,clear,60,404,4200,45.0,55.7,3,90,90,90,113,4,3,1,3,3,2,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p06,C_wkdy_afternoon,GUESS,,guess_v1,clear,59,312,4200,43.1,52.4,3,90,78,90,98,4,2,1,3,3,2,1,5,1,1,0,1,1,1,,,,"guessed, not measured"
p06,D_wkdy_evening,GUESS,,guess_v1,clear,53,315,3200,30,39.1,1,90,28,90,35,4,2,1,1,3,3,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p06,E_wkend_midday,GUESS,,guess_v1,clear,60,413,4200,31.2,43.2,1,90,23,90,29,4,1,1,3,3,4,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p07,A_wkdy_morning,GUESS,,guess_v1,fog,52,269,4000,36.1,45.0,1,120,35,120,44,4,2,1,4,3,3,1,3,1,1,0,1,1,1,,,,"guessed, not measured"
p07,B_wkdy_midday,GUESS,,guess_v1,clear,60,384,4000,45.9,58.1,2,120,77,120,96,4,2,1,4,3,3,1,4,1,1,0,1,1,1,,,,"guessed, not measured"
p07,C_wkdy_afternoon,GUESS,,guess_v1,clear,59,412,4000,42.0,51.7,2,120,61,120,76,4,2,1,4,3,3,1,5,1,1,0,1,1,1,,,,"guessed, not measured"
