place_id,slot,date,time,rater,weather,temp_f,lux,kelvin,db_mean,db_peak,db_variability,seats_total,seats_occupied,people_visible,enclosure,complexity,greenery,daylight,seat_comfort,privacy,talk_ok,thermal,outlets,wifi,food_drink,restroom,table_surface,back_to_wall,photo_wide,photo_pov,photo_light,notes
p01,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p01,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p01,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p01,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p01,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p02,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p02,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p02,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p02,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p02,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p03,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p03,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p03,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p03,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p03,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p04,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p04,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p04,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p04,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p04,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p05,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p05,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p05,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p05,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p05,E_wkend_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p06,A_wkdy_morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p06,B_wkdy_midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p06,C_wkdy_afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p06,D_wkdy_evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
